,MANC,FANC,Male CNS,BANC
76,0.9994519948959351,0.9985953569412231,0.9493506550788879,0.9995896816253662
77,0.7735270261764526,0.9832026958465576,0.9951127767562866,0.999569833278656
78,0.9833793640136719,0.9517022371292114,0.9992924332618713,0.998542308807373
79,0.9993369579315186,0.9759255647659302,0.98646479845047,0.9953981637954712
80,0.9999555349349976,0.9774999618530273,0.9995700716972351,0.9994598627090454
81,0.9513590335845947,0.8689889907836914,0.9913818836212158,0.9995192289352417
82,0.968788743019104,0.9784083366394043,0.9856522083282471,0.9995434880256653
83,0.9993626475334167,0.9608432054519653,0.9997224807739258,0.9999139904975891
84,0.9998270273208618,0.957226037979126,0.999367356300354,0.9995967745780945
85,0.9991340041160583,0.9996277093887329,0.9977198839187622,0.999498724937439
86,0.999131977558136,0.9985116124153137,0.9666926264762878,0.9998170733451843
87,0.9998644590377808,0.9982582330703735,0.9992650151252747,0.9632392525672913
88,0.9996110200881958,0.9996830821037292,0.9735442399978638,0.9992077350616455
89,0.9990295171737671,0.9964323043823242,0.9891239404678345,0.9977792501449585
90,1.0,0.9806932210922241,0.9951804280281067,0.9997667670249939
91,0.9994217157363892,0.9988483190536499,0.9993284940719604,0.9997050166130066
92,0.9994179606437683,0.999561071395874,0.9071121215820312,0.9998209476470947
93,0.9556877017021179,0.9995546340942383,0.9998812675476074,0.9907021522521973
94,0.9787994623184204,0.99941486120224,0.9590985774993896,0.999844491481781
95,0.998835027217865,0.9996978044509888,0.9959843754768372,0.9999916553497314
96,0.9992154836654663,0.9968535304069519,0.9638593792915344,0.9999505281448364
97,0.9814656972885132,0.9981532096862793,0.9979018568992615,0.9992191791534424
98,0.9992520213127136,0.9986686706542969,0.9888231158256531,0.9999854564666748
99,0.9998480081558228,0.7008028030395508,0.9998522400856018,0.9998663663864136
100,0.9172442555427551,0.9751524925231934,0.9952016472816467,0.9302145838737488
101,0.9988380074501038,0.9983378648757935,0.9955108165740967,0.9999006986618042
102,0.9995790719985962,0.9994988441467285,0.9821434020996094,0.9996817708015442
103,0.9333473443984985,0.9898549914360046,0.9606517553329468,0.9809867143630981
104,0.9989656805992126,0.9993071556091309,0.9989528656005859,0.9996674656867981
105,0.9996500015258789,0.9957660436630249,0.9875574707984924,0.9998418688774109
106,0.9990800619125366,0.98537278175354,0.9852632880210876,0.9997413158416748
107,0.9990800023078918,0.9994139075279236,0.9987049102783203,0.9997411966323853
108,0.9990860223770142,0.9818621873855591,0.9856427311897278,0.9592980146408081
109,0.9991614818572998,0.9607430100440979,0.9731608629226685,0.9997434616088867
110,0.9121136665344238,0.9856268167495728,0.9910922646522522,0.9997553825378418
111,0.9992363452911377,0.9951004981994629,0.9760911464691162,0.9998540282249451
112,0.9686020612716675,0.9995625019073486,0.9536206722259521,0.9988143444061279
113,0.9830707311630249,0.9995567202568054,0.9741630554199219,0.9997278451919556
114,0.9995860457420349,0.9976422190666199,0.9847370982170105,0.994628369808197
115,0.9995843768119812,0.9688820242881775,0.9990884065628052,0.9995269775390625
116,0.9982115030288696,0.9992971420288086,0.955044150352478,0.9985837936401367
117,0.9987059831619263,0.9999256134033203,0.971081018447876,0.9996621608734131
118,0.9274603724479675,0.948478639125824,0.9947924613952637,0.9996013641357422
119,0.9998550415039062,0.9935007691383362,0.9993184208869934,0.9996285438537598
120,0.999332070350647,0.9879326820373535,0.9980034828186035,0.9998104572296143
121,0.6043999791145325,0.910164475440979,0.9698435068130493,0.9603134989738464
122,0.9995046854019165,0.9992645382881165,0.9869477152824402,0.9995344281196594
123,0.9880023002624512,0.9815138578414917,0.9991756081581116,0.9983090162277222
124,0.9993643760681152,0.9997020959854126,0.9989017844200134,0.9993149042129517
125,0.999708354473114,0.9928870797157288,0.9715653657913208,0.999589741230011
126,0.9992570281028748,0.9993729591369629,0.998454749584198,0.9995280504226685
127,0.9991046786308289,0.9999095797538757,0.9990867972373962,0.9997491836547852
128,0.8185409903526306,0.9566249847412109,0.9543324708938599,0.9946853518486023
129,0.9999790191650391,0.9870970845222473,0.932287335395813,0.9998272061347961
130,0.9844405055046082,0.9475916624069214,0.9991596341133118,0.9720312356948853
131,0.9703316688537598,0.9993013143539429,0.9990026354789734,0.9916458129882812
132,0.9998347163200378,0.999232828617096,0.9778321385383606,0.9932944178581238
133,0.9995176792144775,1.0,0.9610902667045593,0.9997074604034424
134,0.9987075328826904,0.9593838453292847,0.9989374876022339,0.9998022317886353
135,0.8812852501869202,0.9954587817192078,0.9925432205200195,0.9619553089141846
136,0.9102482199668884,0.9829920530319214,0.9989993572235107,0.9999187588691711
