,180,220,260,300,340
328,2.0,6.0,6.0,6.0,7.0
329,3.0,6.0,7.0,7.0,10.0
330,1.0,2.0,5.0,6.0,6.0
331,2.0,6.0,6.0,6.0,9.0
332,2.0,6.0,6.0,6.0,8.0
333,1.0,5.0,6.0,6.0,6.0
334,2.0,6.0,6.0,6.0,7.0
335,2.0,6.0,6.0,7.0,8.0
336,2.0,5.0,6.0,6.0,7.0
337,2.0,6.0,6.0,7.0,9.0
338,6.0,6.0,6.0,9.0,10.0
339,2.0,6.0,6.0,6.0,10.0
340,2.0,6.0,6.0,6.0,9.0
341,4.0,6.0,6.0,7.0,10.0
342,2.0,6.0,6.0,6.0,8.0
343,2.0,5.0,6.0,6.0,7.0
344,2.0,6.0,6.0,7.0,9.0
345,3.0,6.0,6.0,7.0,10.0
346,2.0,6.0,6.0,6.0,7.0
347,3.0,6.0,7.0,8.0,9.0
348,5.0,6.0,6.0,8.0,11.0
349,6.0,6.0,6.0,8.0,11.0
350,2.0,6.0,6.0,6.0,9.0
351,2.0,5.0,6.0,7.0,7.0
352,2.0,6.0,6.0,6.0,9.0
353,2.0,6.0,6.0,8.0,9.0
354,6.0,6.0,6.0,9.0,11.0
355,4.0,6.0,6.0,6.0,8.0
356,1.0,6.0,6.0,7.0,7.0
357,2.0,6.0,6.0,6.0,9.0
358,5.0,6.0,6.0,8.0,10.0
359,1.0,5.0,6.0,6.0,6.0
360,1.0,6.0,6.0,6.0,7.0
361,2.0,6.0,6.0,8.0,10.0
362,3.0,6.0,7.0,7.0,8.0
363,2.0,6.0,6.0,6.0,9.0
364,2.0,6.0,6.0,6.0,8.0
365,5.0,6.0,6.0,8.0,10.0
366,2.0,6.0,6.0,8.0,10.0
367,3.0,6.0,7.0,8.0,10.0
368,2.0,6.0,6.0,6.0,9.0
369,6.0,6.0,6.0,10.0,10.0
370,4.0,6.0,7.0,9.0,10.0
371,3.0,6.0,7.0,10.0,10.0
372,3.0,6.0,6.0,6.0,9.0
373,2.0,6.0,6.0,7.0,9.0
374,3.0,6.0,7.0,8.0,10.0
375,6.0,6.0,7.0,7.0,10.0
376,1.0,6.0,6.0,6.0,8.0
377,2.0,6.0,6.0,7.0,9.0
378,3.0,6.0,6.0,7.0,10.0
379,6.0,6.0,8.0,11.0,11.0
380,6.0,6.0,6.0,9.0,11.0
381,2.0,6.0,6.0,7.0,10.0
382,3.0,6.0,6.0,6.0,9.0
383,1.0,3.0,6.0,6.0,7.0
384,5.0,6.0,7.0,9.0,11.0
385,6.0,6.0,9.0,11.0,11.0
386,2.0,6.0,6.0,7.0,9.0
387,2.0,6.0,6.0,7.0,10.0
388,5.0,6.0,7.0,8.0,11.0
389,6.0,6.0,7.0,10.0,11.0
390,2.0,6.0,6.0,8.0,9.0
391,3.0,6.0,6.0,6.0,11.0
392,2.0,6.0,6.0,7.0,9.0
393,3.0,6.0,6.0,7.0,9.0
394,6.0,6.0,8.0,9.0,12.0
395,6.0,6.0,7.0,7.0,10.0
396,1.0,6.0,6.0,6.0,11.0
397,3.0,6.0,6.0,7.0,9.0
398,6.0,6.0,6.0,7.0,10.0
399,2.0,6.0,6.0,6.0,7.0
400,5.0,6.0,6.0,7.0,10.0
401,4.0,6.0,6.0,6.0,9.0
402,3.0,6.0,6.0,7.0,9.0
403,6.0,6.0,6.0,8.0,10.0
404,3.0,6.0,6.0,6.0,9.0
405,5.0,6.0,6.0,9.0,10.0
406,1.0,3.0,6.0,6.0,6.0
407,2.0,6.0,6.0,8.0,10.0
408,1.0,2.0,6.0,6.0,7.0
409,2.0,6.0,6.0,8.0,10.0
410,1.0,4.0,6.0,6.0,6.0
411,2.0,6.0,6.0,7.0,9.0
412,6.0,6.0,7.0,9.0,11.0
413,3.0,6.0,6.0,7.0,10.0
414,5.0,6.0,6.0,8.0,10.0
415,2.0,6.0,6.0,6.0,9.0
416,2.0,5.0,6.0,6.0,7.0
417,1.0,6.0,6.0,7.0,8.0
418,2.0,6.0,6.0,6.0,9.0
419,2.0,6.0,7.0,8.0,9.0
420,3.0,6.0,7.0,8.0,9.0
421,3.0,6.0,6.0,8.0,10.0
422,6.0,6.0,6.0,9.0,11.0
423,5.0,6.0,7.0,9.0,11.0
424,2.0,6.0,6.0,7.0,8.0
425,5.0,6.0,7.0,10.0,11.0
426,6.0,6.0,6.0,9.0,11.0
427,5.0,6.0,6.0,8.0,10.0
428,2.0,6.0,6.0,9.0,10.0
429,3.0,6.0,6.0,7.0,10.0
430,2.0,6.0,6.0,9.0,10.0
431,6.0,6.0,6.0,8.0,11.0
432,2.0,6.0,6.0,7.0,10.0
433,1.0,4.0,6.0,6.0,6.0
434,2.0,6.0,6.0,6.0,8.0
435,2.0,6.0,6.0,6.0,7.0
436,2.0,5.0,6.0,6.0,8.0
437,2.0,6.0,6.0,7.0,7.0
438,6.0,6.0,6.0,7.0,11.0
439,2.0,6.0,7.0,8.0,12.0
440,3.0,6.0,6.0,8.0,10.0
441,1.0,3.0,6.0,7.0,7.0
442,3.0,6.0,6.0,6.0,10.0
443,1.0,5.0,6.0,6.0,8.0
444,2.0,6.0,6.0,7.0,9.0
445,1.0,6.0,6.0,6.0,9.0
446,5.0,6.0,6.0,8.0,8.0
447,3.0,6.0,6.0,7.0,10.0
448,4.0,6.0,6.0,7.0,9.0
449,2.0,6.0,6.0,7.0,11.0
450,2.0,6.0,6.0,8.0,8.0
451,5.0,6.0,6.0,7.0,11.0
452,6.0,6.0,6.0,9.0,10.0
453,2.0,6.0,6.0,6.0,8.0
454,6.0,6.0,7.0,9.0,10.0
455,5.0,6.0,6.0,8.0,11.0
456,1.0,6.0,6.0,6.0,9.0
457,6.0,6.0,6.0,8.0,11.0
458,6.0,6.0,6.0,11.0,11.0
459,2.0,5.0,6.0,7.0,8.0
460,3.0,6.0,6.0,8.0,8.0
461,2.0,6.0,6.0,7.0,9.0
462,2.0,6.0,6.0,8.0,11.0
463,1.0,3.0,6.0,6.0,7.0
464,2.0,6.0,6.0,6.0,10.0
465,5.0,6.0,6.0,8.0,11.0
466,2.0,6.0,6.0,8.0,11.0
467,2.0,6.0,6.0,7.0,9.0
468,1.0,5.0,6.0,6.0,8.0
469,5.0,6.0,7.0,9.0,11.0
470,5.0,6.0,6.0,9.0,11.0
471,1.0,6.0,6.0,6.0,9.0
