,180,220,260,300,340
399,0,2,2,2,3
400,2,2,2,2,5
401,0,2,2,2,5
402,0,2,2,3,4
403,2,2,2,3,5
404,0,2,2,2,4
405,1,2,2,4,5
406,0,0,2,2,2
407,0,2,2,3,5
408,0,0,2,2,3
409,0,2,2,4,5
410,0,1,2,2,2
411,0,2,2,3,4
412,2,2,3,4,6
413,0,2,2,3,5
414,1,2,2,3,5
415,0,2,2,2,4
416,0,1,2,2,3
417,0,2,2,3,4
418,0,2,2,2,4
419,0,2,3,3,4
420,0,2,3,3,4
421,0,2,2,3,5
422,2,2,2,4,6
423,1,2,3,4,6
424,0,2,2,3,4
425,1,2,3,5,6
426,2,2,2,4,6
427,1,2,2,3,5
428,0,2,2,4,5
429,0,2,2,3,5
430,0,2,2,4,5
431,2,2,2,3,6
432,0,2,2,3,5
433,0,1,2,2,2
434,0,2,2,2,3
435,0,2,2,2,2
436,0,1,2,2,4
437,0,2,2,3,3
438,2,2,2,2,6
439,0,2,3,3,7
440,0,2,2,3,5
441,0,0,2,3,3
442,0,2,2,2,5
443,0,1,2,2,3
444,0,2,2,3,4
445,0,2,2,2,4
446,1,2,2,3,3
447,0,2,2,3,5
448,1,2,2,3,4
449,0,2,2,2,6
450,0,2,2,3,3
451,1,2,2,2,6
452,2,2,2,4,5
453,0,2,2,2,3
454,2,2,3,4,5
455,1,2,2,4,6
456,0,2,2,2,4
457,2,2,2,3,6
458,2,2,2,6,6
459,0,1,2,3,3
460,0,2,2,3,3
461,0,2,2,3,4
462,0,2,2,3,6
463,0,0,2,2,3
464,0,2,2,2,5
465,1,2,2,3,6
466,0,2,2,3,6
467,0,2,2,3,4
468,0,1,2,2,4
469,1,2,2,4,6
470,1,2,2,4,6
471,0,2,2,2,4
472,1,2,2,3,6
473,2,2,2,3,5
474,0,1,2,2,3
475,0,2,2,2,3
476,0,2,2,3,5
477,0,2,2,2,3
478,0,2,2,3,4
479,0,2,2,2,3
480,0,2,2,3,5
481,0,1,2,2,3
482,0,2,2,2,3
483,0,2,2,3,4
484,1,2,2,4,5
485,0,2,2,2,3
486,0,2,2,4,4
