,none,E2,E3,E4,I2
248,4.0,2.0,3.0,4.0,63.0
249,4.0,2.0,3.0,3.0,8.0
250,2.0,2.0,2.0,2.0,9.0
251,5.0,1.0,3.0,3.0,12.0
252,3.0,1.0,3.0,2.0,8.0
253,5.0,2.0,3.0,5.0,10.0
254,4.0,2.0,2.0,2.0,12.0
255,4.0,2.0,2.0,3.0,8.0
256,1.0,1.0,2.0,1.0,7.0
257,4.0,2.0,3.0,3.0,7.0
258,5.0,2.0,3.0,3.0,14.0
259,3.0,3.0,3.0,3.0,7.0
260,5.0,1.0,3.0,5.0,82.0
261,5.0,2.0,2.0,5.0,36.0
262,5.0,1.0,2.0,5.0,105.0
263,5.0,4.0,3.0,5.0,14.0
264,3.0,1.0,2.0,2.0,15.0
265,5.0,3.0,3.0,3.0,9.0
266,4.0,1.0,2.0,5.0,26.0
267,4.0,2.0,3.0,3.0,8.0
268,2.0,2.0,2.0,2.0,7.0
269,5.0,2.0,3.0,3.0,86.0
270,4.0,2.0,3.0,2.0,8.0
271,4.0,2.0,3.0,3.0,33.0
272,5.0,1.0,3.0,2.0,14.0
273,4.0,3.0,3.0,3.0,13.0
274,5.0,3.0,3.0,5.0,98.0
275,5.0,1.0,3.0,2.0,12.0
276,5.0,2.0,3.0,3.0,13.0
277,4.0,1.0,3.0,5.0,58.0
278,5.0,3.0,3.0,5.0,83.0
279,4.0,2.0,3.0,3.0,10.0
280,5.0,4.0,3.0,3.0,13.0
281,4.0,2.0,3.0,3.0,8.0
282,4.0,6.0,2.0,2.0,25.0
283,4.0,2.0,3.0,2.0,8.0
284,4.0,1.0,2.0,4.0,15.0
285,2.0,2.0,2.0,2.0,7.0
286,6.0,1.0,2.0,2.0,98.0
287,8.0,10.0,3.0,6.0,97.0
288,3.0,2.0,3.0,3.0,8.0
289,4.0,1.0,3.0,4.0,15.0
290,5.0,2.0,3.0,5.0,20.0
291,3.0,1.0,3.0,2.0,11.0
292,7.0,1.0,2.0,5.0,28.0
293,3.0,1.0,3.0,2.0,8.0
294,4.0,8.0,3.0,3.0,16.0
295,5.0,1.0,3.0,5.0,87.0
296,1.0,1.0,2.0,2.0,6.0
297,4.0,2.0,3.0,2.0,8.0
298,6.0,1.0,2.0,2.0,14.0
299,3.0,2.0,3.0,2.0,8.0
300,5.0,4.0,3.0,5.0,7.0
301,6.0,1.0,3.0,11.0,37.0
302,5.0,2.0,3.0,5.0,13.0
303,5.0,9.0,3.0,5.0,93.0
304,3.0,2.0,3.0,2.0,8.0
305,5.0,2.0,3.0,3.0,78.0
306,5.0,2.0,3.0,5.0,81.0
307,5.0,2.0,3.0,3.0,16.0
308,2.0,2.0,2.0,2.0,7.0
309,5.0,1.0,3.0,5.0,21.0
310,3.0,2.0,3.0,2.0,6.0
311,6.0,4.0,3.0,7.0,33.0
312,3.0,2.0,3.0,3.0,8.0
313,4.0,2.0,3.0,3.0,8.0
314,6.0,3.0,3.0,5.0,25.0
315,5.0,3.0,3.0,3.0,32.0
316,5.0,15.0,3.0,5.0,35.0
317,5.0,3.0,3.0,5.0,28.0
318,4.0,2.0,3.0,3.0,8.0
319,5.0,2.0,3.0,3.0,16.0
320,5.0,3.0,3.0,5.0,65.0
321,3.0,1.0,3.0,2.0,8.0
322,1.0,1.0,2.0,1.0,3.0
323,5.0,2.0,3.0,5.0,15.0
324,4.0,2.0,3.0,4.0,19.0
325,7.0,1.0,2.0,5.0,80.0
326,5.0,2.0,3.0,5.0,29.0
327,4.0,2.0,3.0,3.0,7.0
328,3.0,2.0,3.0,3.0,7.0
329,2.0,2.0,2.0,2.0,8.0
330,4.0,2.0,3.0,3.0,8.0
331,5.0,8.0,3.0,4.0,16.0
332,5.0,2.0,3.0,3.0,43.0
