,none,E1,E2,E3,E4,I2
871,69.0,42.0,65.0,29.0,28.0,91.0
872,97.0,73.0,97.0,40.0,45.0,234.0
873,124.0,132.0,115.0,57.0,103.0,1518.0
874,108.0,88.0,86.0,41.0,82.0,127.0
875,94.0,58.0,75.0,32.0,40.0,144.0
876,98.0,96.0,104.0,50.0,54.0,302.0
877,106.0,93.0,138.0,58.0,49.0,228.0
878,73.0,40.0,59.0,30.0,33.0,100.0
879,142.0,379.0,161.0,61.0,114.0,420.0
880,108.0,98.0,92.0,45.0,49.0,166.0
881,90.0,53.0,79.0,33.0,34.0,110.0
882,108.0,104.0,116.0,54.0,79.0,1691.0
883,76.0,54.0,78.0,31.0,31.0,121.0
884,88.0,69.0,78.0,38.0,36.0,135.0
885,99.0,72.0,85.0,54.0,46.0,171.0
886,89.0,62.0,82.0,36.0,38.0,150.0
887,83.0,58.0,85.0,39.0,39.0,123.0
888,110.0,103.0,100.0,60.0,47.0,281.0
889,151.0,230.0,176.0,70.0,126.0,361.0
890,98.0,74.0,89.0,36.0,39.0,161.0
891,105.0,96.0,85.0,47.0,49.0,238.0
892,109.0,118.0,119.0,54.0,54.0,256.0
893,98.0,96.0,94.0,40.0,47.0,288.0
894,120.0,128.0,167.0,59.0,101.0,371.0
895,131.0,147.0,135.0,57.0,112.0,401.0
896,104.0,81.0,97.0,49.0,46.0,203.0
897,99.0,85.0,116.0,52.0,47.0,275.0
898,106.0,106.0,106.0,54.0,84.0,232.0
899,70.0,54.0,76.0,35.0,35.0,109.0
900,94.0,70.0,92.0,41.0,45.0,126.0
901,121.0,109.0,126.0,58.0,99.0,225.0
902,98.0,67.0,93.0,48.0,46.0,134.0
903,88.0,61.0,82.0,39.0,41.0,110.0
904,69.0,50.0,68.0,34.0,36.0,106.0
905,117.0,111.0,104.0,48.0,55.0,264.0
906,115.0,114.0,110.0,52.0,60.0,402.0
907,95.0,70.0,107.0,47.0,45.0,184.0
908,162.0,181.0,127.0,63.0,120.0,1623.0
909,75.0,50.0,72.0,30.0,29.0,120.0
910,113.0,110.0,120.0,48.0,81.0,1563.0
911,84.0,55.0,81.0,32.0,38.0,123.0
912,118.0,125.0,1495.0,61.0,92.0,412.0
913,100.0,87.0,92.0,49.0,46.0,233.0
914,75.0,54.0,85.0,32.0,36.0,121.0
915,112.0,106.0,100.0,60.0,52.0,302.0
916,218.0,1595.0,205.0,73.0,167.0,415.0
917,127.0,132.0,114.0,65.0,97.0,413.0
918,106.0,89.0,94.0,49.0,47.0,217.0
919,93.0,60.0,79.0,38.0,41.0,114.0
920,82.0,59.0,80.0,31.0,32.0,158.0
921,137.0,152.0,135.0,61.0,119.0,390.0
922,62.0,33.0,48.0,27.0,25.0,89.0
923,129.0,137.0,155.0,61.0,124.0,798.0
924,93.0,74.0,88.0,49.0,42.0,143.0
925,68.0,58.0,71.0,40.0,43.0,101.0
926,83.0,53.0,74.0,37.0,40.0,114.0
927,108.0,99.0,94.0,46.0,55.0,173.0
928,92.0,62.0,86.0,36.0,39.0,122.0
929,102.0,93.0,102.0,45.0,44.0,244.0
930,143.0,363.0,149.0,69.0,115.0,415.0
931,98.0,74.0,86.0,48.0,46.0,215.0
932,110.0,112.0,139.0,47.0,97.0,401.0
933,103.0,86.0,92.0,32.0,37.0,340.0
934,85.0,59.0,80.0,36.0,42.0,116.0
935,104.0,78.0,90.0,38.0,46.0,135.0
936,114.0,109.0,102.0,52.0,75.0,307.0
937,102.0,95.0,87.0,40.0,45.0,196.0
938,49.0,25.0,38.0,23.0,21.0,57.0
939,100.0,71.0,82.0,40.0,47.0,126.0
940,132.0,142.0,189.0,58.0,116.0,422.0
941,102.0,73.0,93.0,47.0,44.0,144.0
942,105.0,83.0,97.0,48.0,48.0,150.0
943,114.0,107.0,125.0,57.0,56.0,255.0
944,97.0,65.0,83.0,38.0,43.0,129.0
945,98.0,84.0,102.0,46.0,44.0,258.0
946,120.0,124.0,162.0,61.0,89.0,1613.0
947,109.0,96.0,84.0,56.0,75.0,191.0
948,108.0,99.0,87.0,46.0,61.0,195.0
949,89.0,62.0,84.0,40.0,41.0,134.0
950,96.0,63.0,89.0,41.0,47.0,120.0
951,39.0,19.0,29.0,22.0,20.0,40.0
952,116.0,116.0,148.0,63.0,81.0,401.0
953,189.0,453.0,157.0,65.0,139.0,496.0
954,64.0,52.0,73.0,32.0,32.0,102.0
955,131.0,141.0,153.0,66.0,89.0,374.0
956,74.0,55.0,76.0,33.0,38.0,112.0
957,101.0,104.0,92.0,41.0,45.0,239.0
958,79.0,50.0,69.0,32.0,33.0,101.0
959,117.0,120.0,153.0,65.0,82.0,238.0
960,124.0,107.0,107.0,59.0,93.0,426.0
961,105.0,101.0,91.0,49.0,48.0,247.0
962,89.0,55.0,85.0,39.0,40.0,116.0
963,70.0,39.0,52.0,29.0,31.0,82.0
964,98.0,64.0,94.0,45.0,46.0,123.0
965,114.0,120.0,120.0,69.0,88.0,265.0
966,95.0,72.0,85.0,44.0,41.0,178.0
967,117.0,120.0,141.0,65.0,96.0,387.0
968,128.0,279.0,103.0,58.0,111.0,1460.0
969,93.0,70.0,87.0,45.0,44.0,219.0
970,100.0,89.0,83.0,42.0,45.0,164.0
971,95.0,69.0,80.0,40.0,44.0,135.0
972,92.0,64.0,94.0,42.0,44.0,126.0
973,165.0,1659.0,183.0,56.0,121.0,927.0
974,116.0,104.0,104.0,50.0,90.0,145.0
975,91.0,91.0,77.0,39.0,40.0,171.0
976,98.0,67.0,87.0,36.0,44.0,135.0
977,110.0,104.0,105.0,57.0,54.0,192.0
978,86.0,64.0,92.0,46.0,46.0,128.0
979,103.0,98.0,101.0,55.0,47.0,139.0
980,107.0,102.0,107.0,55.0,54.0,1122.0
981,79.0,42.0,67.0,30.0,32.0,97.0
982,111.0,99.0,103.0,48.0,44.0,206.0
983,82.0,53.0,72.0,36.0,39.0,101.0
984,110.0,101.0,99.0,54.0,95.0,274.0
985,116.0,137.0,123.0,38.0,92.0,1396.0
986,104.0,97.0,105.0,55.0,52.0,264.0
987,128.0,125.0,125.0,57.0,104.0,276.0
988,50.0,40.0,49.0,28.0,29.0,78.0
989,111.0,97.0,104.0,46.0,52.0,229.0
990,101.0,67.0,93.0,50.0,49.0,138.0
991,84.0,51.0,74.0,36.0,38.0,101.0
992,68.0,45.0,56.0,31.0,33.0,90.0
993,83.0,48.0,75.0,30.0,33.0,117.0
994,121.0,114.0,98.0,58.0,107.0,228.0
995,110.0,106.0,156.0,46.0,54.0,221.0
996,85.0,53.0,81.0,34.0,35.0,120.0
997,107.0,99.0,105.0,44.0,45.0,366.0
998,78.0,54.0,71.0,39.0,38.0,98.0
999,112.0,97.0,177.0,50.0,105.0,310.0
1000,102.0,76.0,90.0,42.0,44.0,197.0
1001,96.0,71.0,96.0,46.0,48.0,133.0
1002,90.0,51.0,78.0,31.0,34.0,123.0
1003,111.0,100.0,101.0,53.0,45.0,155.0
1004,92.0,72.0,76.0,34.0,37.0,348.0
1005,97.0,75.0,93.0,38.0,46.0,147.0
1006,107.0,104.0,101.0,63.0,91.0,224.0
1007,88.0,57.0,87.0,37.0,44.0,118.0
1008,100.0,84.0,84.0,39.0,39.0,148.0
1009,126.0,124.0,136.0,53.0,122.0,432.0
1010,97.0,92.0,101.0,51.0,48.0,361.0
1011,108.0,80.0,97.0,46.0,64.0,214.0
1012,100.0,64.0,92.0,39.0,43.0,125.0
1013,56.0,31.0,48.0,27.0,29.0,68.0
1014,99.0,77.0,92.0,39.0,41.0,161.0
1015,73.0,55.0,74.0,42.0,35.0,112.0
1016,130.0,143.0,141.0,60.0,116.0,359.0
1017,104.0,78.0,107.0,46.0,46.0,246.0
1018,135.0,140.0,125.0,58.0,105.0,1270.0
1019,104.0,91.0,137.0,47.0,47.0,202.0
1020,71.0,56.0,78.0,37.0,37.0,93.0
1021,83.0,52.0,74.0,31.0,35.0,117.0
1022,149.0,173.0,149.0,69.0,108.0,436.0
1023,93.0,57.0,87.0,35.0,40.0,110.0
