,none,E1,E2,I1
250,3.0,2.0,1.0,2.0
251,2.0,1.0,0.0,2.0
252,2.0,1.0,0.0,2.0
253,4.0,2.0,2.0,4.0
254,2.0,2.0,1.0,3.0
255,4.0,3.0,3.0,4.0
256,4.0,1.0,1.0,3.0
257,2.0,0.0,0.0,3.0
258,2.0,0.0,0.0,4.0
259,2.0,2.0,1.0,2.0
260,2.0,2.0,1.0,2.0
261,2.0,1.0,1.0,2.0
262,2.0,1.0,1.0,2.0
263,4.0,2.0,1.0,4.0
264,3.0,2.0,1.0,3.0
265,4.0,2.0,2.0,5.0
266,3.0,2.0,1.0,2.0
267,2.0,2.0,1.0,3.0
268,5.0,2.0,2.0,5.0
269,5.0,2.0,2.0,5.0
270,5.0,2.0,2.0,6.0
271,3.0,2.0,1.0,3.0
272,5.0,3.0,2.0,6.0
273,3.0,2.0,1.0,3.0
274,5.0,3.0,3.0,6.0
275,3.0,2.0,1.0,3.0
276,2.0,1.0,1.0,2.0
277,2.0,2.0,0.0,2.0
278,2.0,1.0,1.0,2.0
279,3.0,2.0,1.0,2.0
280,3.0,2.0,1.0,3.0
281,3.0,1.0,1.0,2.0
282,3.0,3.0,2.0,5.0
283,2.0,1.0,0.0,2.0
284,5.0,1.0,1.0,5.0
285,2.0,1.0,1.0,2.0
286,3.0,2.0,1.0,3.0
287,3.0,2.0,1.0,2.0
288,3.0,3.0,1.0,2.0
289,4.0,2.0,2.0,2.0
290,2.0,0.0,0.0,2.0
291,2.0,1.0,0.0,2.0
292,2.0,2.0,1.0,3.0
293,2.0,1.0,0.0,2.0
294,3.0,3.0,2.0,3.0
295,3.0,1.0,1.0,3.0
296,3.0,2.0,1.0,2.0
297,3.0,1.0,1.0,3.0
298,3.0,1.0,1.0,4.0
299,3.0,2.0,1.0,3.0
300,3.0,2.0,1.0,2.0
301,3.0,2.0,2.0,4.0
302,2.0,1.0,0.0,2.0
303,4.0,2.0,1.0,5.0
304,3.0,2.0,1.0,3.0
305,2.0,1.0,0.0,4.0
306,2.0,1.0,0.0,2.0
307,3.0,1.0,1.0,4.0
308,3.0,2.0,1.0,4.0
309,3.0,2.0,1.0,3.0
310,3.0,2.0,1.0,2.0
311,2.0,2.0,1.0,2.0
312,4.0,2.0,2.0,5.0
313,3.0,2.0,1.0,2.0
314,2.0,0.0,0.0,2.0
315,3.0,2.0,1.0,3.0
316,3.0,2.0,1.0,3.0
317,4.0,2.0,2.0,5.0
318,4.0,2.0,2.0,3.0
319,2.0,0.0,0.0,2.0
320,2.0,0.0,0.0,2.0
321,5.0,3.0,2.0,6.0
322,3.0,1.0,1.0,2.0
323,3.0,2.0,1.0,3.0
324,2.0,2.0,1.0,2.0
325,3.0,2.0,1.0,2.0
326,2.0,1.0,1.0,2.0
327,2.0,1.0,1.0,3.0
328,2.0,1.0,1.0,2.0
329,2.0,1.0,1.0,2.0
330,3.0,2.0,1.0,3.0
331,2.0,1.0,1.0,3.0
332,3.0,1.0,1.0,3.0
333,3.0,2.0,1.0,4.0
334,3.0,1.0,1.0,4.0
335,2.0,0.0,0.0,2.0
336,2.0,2.0,0.0,2.0
