,pt_root_id,body_part_effector,body_part_sensory,cell_class,cell_function,cell_function_detailed,cell_sub_class,cell_type,fafb_783_cell_type,fafb_783_match_id,fanc_1116_cell_type,fanc_1116_match_id,flow,hemibrain_121_cell_type,hemibrain_121_match_id,hemilineage,manc_121_cell_type,manc_121_match_id,nerve,neuropeptide_verified,neurotransmitter_predicted,neurotransmitter_verified,other_names,peripheral_target_type,region,side,super_class,pt_position,surf_area_um2
4456,720575941642161746,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN01B006,,,,,intrinsic,,,01B,IN01B006,id:12961,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[114208 157344   1591],9037.170704
4457,720575941642166354,,,sequential_leg_neuromeres,,,ventral_nerve_cord_bilateral_interconnecting,IN14B002,,,,,intrinsic,,,14B,,,,,gaba,,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[126848 141312   2002],9883.612944
4458,720575941642249592,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN09A083,,,,,intrinsic,,,09A,IN09A083,id:30185,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[122256 139120   2687],1862.824608
4459,720575941642285256,,,ascending_neuron,,,,AN07B069,AN_IPS_GNG_6,id:720575940618401605,,,intrinsic,,,07B,AN07B069,id:22968,,,acetylcholine,acetylcholine,,,neck_connective,right,ascending,[126192 144080   1975],4166.964992
4460,720575941642302840,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A035,,,,,intrinsic,,,20A.22A,IN20A.22A035,id:21588,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[157936 156784   4389],1727.810976
4461,720575941642303944,front_leg,,leg_motor_neuron,leg_motor,extend_coxa_trochanter_joint,front_leg_motor_neuron,tergotrochanter_extensor,,,,,efferent,,,17X,Tergotr. MN,id:19652,left_ventral_prothoracic_nerve,,gaba,,,tergotrochanter_extensor_muscle,ventral_nerve_cord,left,motor,[139728 136448   2450],14388.831664
4462,720575941642369912,,,,,,ventral_nerve_cord_bilateral_restricted,IN12B035,,,,,intrinsic,,,12B,IN12B035,id:18214,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[125264 167136   3112],4911.027696
4463,720575941642372040,,,,,,ventral_nerve_cord_bilateral_interconnecting,IN18B032,,,,,intrinsic,,,18B,,,,,acetylcholine,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic,[150752 168608   5347],16194.501408
4464,720575941642429640,,,sequential_leg_neuromeres,,,ventral_nerve_cord_ipsilateral_interconnecting,IN03B015,,,,,intrinsic,,,03B,IN03B015,id:10791,,,gaba,,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[115488 165376   3088],12956.42736
4465,720575941642470264,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN19A122,,,,,intrinsic,,,19A,IN19A122,id:31364,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic,[105600 152272   4029],3049.64864
