w_idx,pt_root_id,body_part_effector,body_part_sensory,cell_class,cell_function,cell_function_detailed,cell_sub_class,cell_type,fafb_783_cell_type,fafb_783_match_id,fanc_1116_cell_type,fanc_1116_match_id,flow,hemibrain_121_cell_type,hemibrain_121_match_id,hemilineage,manc_121_cell_type,manc_121_match_id,nerve,neuropeptide_verified,neurotransmitter_predicted,neurotransmitter_verified,other_names,peripheral_target_type,region,side,super_class
2905,720575941552372634,,,single_leg_neuromere,,,ventral_nerve_cord_bilateral_restricted,IN14A047,,,,,intrinsic,,,14A,,,,,glutamate,,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2906,720575941552442369,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN09A071,,,,,intrinsic,,,09A,IN09A071,id:24416,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2907,720575941552463361,,,single_leg_neuromere,,,ventral_nerve_cord_bilateral_restricted,IN12B030,,,,,intrinsic,,,12B,IN12B030,id:154301,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2908,720575941552474881,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN21A070,,,,,intrinsic,,,21A,IN21A070,id:100142,,,glutamate,,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2909,720575941552519937,,,,,,ventral_nerve_cord_contralateral_restricted,IN13B075,,,,,intrinsic,,,13B,,,,,gaba,gaba,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2910,720575941552529665,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN04B104,,,,,intrinsic,,,04B,IN04B104,id:21808,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2911,720575941552566663,,,,,,ventral_nerve_cord_bilateral_restricted,IN04B050,,,,,intrinsic,,,04B,IN04B050,id:19446,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2912,720575941552570247,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN20A.22A026,,,,,intrinsic,,,20A.22A,IN20A.22A026,id:18029,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2913,720575941552582791,,,,,,ventral_nerve_cord_ipsilateral_restricted,IN13A060,,,,,intrinsic,,,13A,IN13A060,id:20792,,,gaba,gaba,,,ventral_nerve_cord,left,ventral_nerve_cord_intrinsic
2914,720575941552584510,,,descending_neuron,,,,DNge094,DNge094,id:720575940606856405,,,intrinsic,,,LB7,DNxn144,id:44145,,,acetylcholine,,,,neck_connective,left,descending
2915,720575941552585534,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,INXXX468,,,,,intrinsic,,,TBD,INXXX468,id:14650,,,acetylcholine,,LUL130,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2916,720575941552590910,,,ascending_neuron,,,,AN01B005,AN_multi_123,id:720575940610264490,,,intrinsic,,,01B,AN01B005,id:13783,,,gaba,gaba,,,neck_connective,left,ascending
2917,720575941552601662,,,single_leg_neuromere,,,ventral_nerve_cord_ipsilateral_restricted,IN04B078,,,,,intrinsic,,,04B,IN04B078,id:16938,,,acetylcholine,acetylcholine,,,ventral_nerve_cord,right,ventral_nerve_cord_intrinsic
2918,720575941552603966,,,descending_neuron,,,,DNp19,DNp19,id:720575940643487342,,,intrinsic,DNp19,id:1344249576,putative_primary,DNp19,id:11684,,,acetylcholine,,,,neck_connective,right,descending
