,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0125011252239346,0.0,0.0,0.0,0.811595618724823,0.7801116108894348,0.0,0.7728800773620605,0.0,0.0,0.6307752728462219,0.0,0.0,0.0,0.2036478370428085,0.0,0.6898255348205566,0.7426703572273254,0.0,0.0,0.0,0.0,0.655788779258728,0.0,0.5866929888725281,0.0,0.0,0.0,0.0,0.7357838153839111,0.5952659249305725,0.0,0.7090651988983154,0.0,0.6789199113845825,0.0,0.0,0.0,0.0,0.7386953234672546,0.7768636345863342,0.6555259227752686,0.4288524389266968,0.0,0.6946858763694763,0.0,0.0,0.0,0.0,0.0,0.6716605424880981,0.0,0.0,0.6608855128288269,0.0,0.778397262096405,0.0,0.7721626162528992,0.7550226449966431,0.6248534917831421,0.0,0.0,0.0,0.5151066184043884,0.0,0.7251842617988586,0.0,0.0,0.6809972524642944,0.0,0.6858726143836975,0.0,0.4301579594612121,0.0,0.0,0.8055036067962646,0.0,0.0,0.0,0.0,0.6457753777503967,0.5866293907165527,0.6114169955253601,0.6552168726921082,0.4873951375484466,0.0,0.5868839025497437,0.0,0.6707447171211243,0.0,0.7814362049102783,0.2029068917036056,0.0,0.7246421575546265,0.7067396640777588,0.5719249248504639,0.049507301300764,0.0,0.747943103313446,0.0,0.6615897417068481,0.685178816318512,0.0,0.0,0.7214928865432739,0.0,0.6664149761199951,0.6521825790405273,0.0,0.5996823310852051,0.0,0.6072090864181519,0.6328283548355103,0.0,0.0,0.0,0.5965479612350464,0.7342903017997742,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216850996017456,0.0,0.0,0.7359849810600281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4809399843215942,0.0,0.0,0.0,0.0,0.0,0.2379810065031051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4926120042800903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0426687486469745,0.0,0.0,0.0,0.0,0.0,0.574352502822876,0.0,0.0,0.0,0.0,0.0,0.1879819929599762,0.0,0.0,0.0,0.0,0.0,0.0,0.6177229881286621,0.0,0.0,0.0,0.0,0.2492409944534301,0.0,0.0,0.0,0.1825879961252212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0651680007576942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4440569877624511,0.2868199944496155
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0559960007667541,0.0,0.0,0.0,0.0,0.0317558348178863,0.0,0.1656186580657959,0.0244379993528127,0.0,0.0,0.0,0.0,0.0754936710000038,0.0,0.0,0.0,0.0,0.0225645005702972,0.0221229996532201,0.0,0.0,0.0,0.0,0.0,0.0128460004925727,0.0,0.0350570008158683,0.0,0.0,0.0691270008683204,0.0392136685550212,0.3098546862602234,0.0,0.0,0.0,0.0,0.5087326765060425,0.0,0.0,0.2798643410205841,0.0380922481417655,0.0,0.4105848670005798,0.0,0.0,0.0,0.0,0.0,0.0,0.1498630046844482,0.217625007033348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056801002472639,0.0,0.0,0.1694133281707763,0.0,0.0,0.0,0.0,0.1258520036935806,0.0,0.2308346927165985,0.0,0.0,0.0,0.0,0.0,0.0374963358044624,0.0,0.0,0.0,0.5048505067825317,0.0,0.0,0.2132149934768676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032443668693304,0.0273706670850515,0.0,0.0435070022940635,0.0,0.3354873359203338,0.1088493391871452,0.0505693368613719,0.0,0.0,0.0,0.5039615631103516,0.0,0.1784663498401641,0.2447636723518371,0.0,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,0.0,0.0,0.0,0.0485717728734016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116237150505185,0.0662195682525634,0.0298981256783008,0.0,0.0,0.0502620004117488,0.0,0.0,0.0,0.0,0.0883926227688789,0.0,0.0,0.017229750752449,0.1501692533493042,0.0,0.0,0.0,0.0777634158730506,0.3228866457939148,0.0,0.0,0.0,0.1834637820720672,0.1778138726949691,0.0,0.1830909997224807,0.0,0.1614366769790649,0.0107723753899335,0.1033248901367187,0.0,0.0,0.0,0.1864496171474456,0.0,0.0,0.0,0.0276347007602453,0.0,0.0,0.0,0.1330921202898025,0.1210905015468597,0.0,0.1597581207752227,0.0568812228739261,0.0,0.0,0.0246465560048818,0.0,0.2541606724262237,0.0,0.0,0.0,0.1852436810731887,0.0,0.0095818750560283,0.0,0.0,0.37882199883461,0.0,0.0,0.0,0.0085744448006153,0.0,0.5030908584594727,0.0,0.2825392484664917,0.0,0.1711345016956329,0.0,0.0375324450433254,0.0786120668053627,0.0,0.2816497683525085,0.0,0.0,0.0,0.0,0.0,0.1337572336196899,0.0,0.0,0.0792146250605583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1906149983406067,0.0,0.0,0.0,0.0,0.0694189965724945,0.0,0.0423196256160736,0.0594549998641014,0.0154044292867183,0.019463999196887,0.0,0.0,0.0,0.1723504960536956,0.0701421424746513,0.0,0.0,0.0097377495840191
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045729232951998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0195031426846981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217297151684761,0.0,0.0,0.0614944547414779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476586148142814,0.0616697184741497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010093143209815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0130821429193019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053210002370178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0157037507742643,0.0,0.0,0.0,0.0,0.0,0.021354429423809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028116500005126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.989972710609436,0.0,0.997234046459198,0.99802565574646,0.1970089972019195,0.9034140110015868,0.9891250133514404,0.800544023513794,0.0,0.3904950022697449,0.9172232151031494,0.9961199760437012,0.2013400048017501,0.1713690012693405,0.0,0.2112136781215667,0.0,0.9753313064575196,0.2910326719284057,0.7860506176948547,0.9915790557861328,0.8453470468521118,0.9943482279777528,0.9905662536621094,0.8574403524398804,0.518588662147522,0.6195365190505981,0.3026947379112243,0.2591912746429443,0.3147227466106415,0.9739434719085692,0.9995449781417848,0.8125892281532288,0.0,0.0,0.3737736642360687,0.4968609809875488,0.0816809982061386,0.0,0.0,0.991661787033081,0.9886492490768432,0.226241335272789,0.9229427576065063,0.993870735168457,0.98628568649292,0.891137957572937,0.8928730487823486,0.991566002368927,0.0,0.9951810240745544,0.9975249767303468,0.8955540060997009,0.9842480421066284,0.117040991783142,0.9990949630737304,0.0,0.7387017607688904,0.7422893047332764,0.9878569841384888,0.0519057512283325,0.9672884941101074,0.7539994716644287,0.0,0.0,0.0,0.4582176804542541,0.8970580101013184,0.0,0.9825819730758668,0.9650090336799622,0.9020523428916932,0.9767720103263856,0.7168340086936951,0.9975470304489136,0.0,0.8956015110015869,0.9866864681243896,0.997708022594452,0.9798234701156616,0.6098020076751709,0.9863917231559752,0.9766979813575744,0.997642993927002,0.897548258304596,0.0,0.9981850385665894,0.7627140283584595,0.690468966960907,0.9840289950370787,0.0,0.703484296798706,0.7269660234451294,0.9927760362625122,0.6962239742279053,0.9595802426338196,0.919539988040924,0.9846182465553284,0.3089720010757446,0.9910805225372314,0.0,0.9634004831314088,0.9851704835891724,0.9944857358932496,0.9587464928627014,0.97966468334198,0.9985340237617492,0.0,0.9968770146369934,0.9344584941864014,0.2077572494745254,0.69343101978302,0.985374629497528,0.9910017251968384,0.0,0.6440486907958984,0.7452742457389832,0.9819887280464172,0.9855140447616576,0.9599950313568116,0.993132710456848,0.6914822459220886,0.0623275004327297,0.7540817260742188,0.0353529974818229,0.9563040137290956,0.1733162403106689,0.3663874864578247
