,none,E1,E2,E4,E5,I2
580,92.0,74.0,86.0,68.0,82.0,194.0
581,83.0,69.0,80.0,59.0,76.0,189.0
582,87.0,70.0,80.0,60.0,84.0,187.0
583,87.0,74.0,84.0,61.0,79.0,174.0
584,81.0,65.0,77.0,56.0,67.0,164.0
585,87.0,78.0,87.0,63.0,78.0,196.0
586,89.0,80.0,88.0,66.0,82.0,187.0
587,84.0,76.0,80.0,60.0,77.0,196.0
588,86.0,72.0,84.0,63.0,74.0,186.0
589,91.0,78.0,89.0,63.0,87.0,175.0
590,83.0,70.0,81.0,58.0,70.0,188.0
591,88.0,76.0,87.0,59.0,82.0,186.0
592,89.0,74.0,80.0,60.0,77.0,177.0
593,91.0,79.0,91.0,66.0,86.0,200.0
594,88.0,80.0,88.0,65.0,83.0,196.0
595,91.0,81.0,88.0,62.0,87.0,201.0
596,111.0,87.0,98.0,69.0,84.0,221.0
597,81.0,71.0,77.0,59.0,76.0,172.0
598,88.0,80.0,86.0,60.0,86.0,199.0
599,90.0,77.0,86.0,62.0,78.0,199.0
600,99.0,83.0,91.0,68.0,80.0,190.0
601,93.0,77.0,83.0,63.0,81.0,185.0
602,98.0,87.0,96.0,67.0,87.0,197.0
603,90.0,76.0,85.0,61.0,79.0,165.0
604,84.0,73.0,82.0,61.0,76.0,167.0
605,90.0,77.0,86.0,61.0,82.0,186.0
606,92.0,81.0,94.0,64.0,88.0,188.0
607,93.0,81.0,88.0,60.0,88.0,188.0
608,93.0,82.0,95.0,63.0,89.0,207.0
609,74.0,63.0,73.0,51.0,69.0,187.0
610,78.0,72.0,76.0,52.0,70.0,183.0
611,92.0,76.0,89.0,67.0,80.0,194.0
612,95.0,78.0,88.0,61.0,90.0,205.0
613,86.0,73.0,81.0,61.0,75.0,172.0
614,87.0,75.0,82.0,60.0,78.0,184.0
615,86.0,75.0,84.0,63.0,77.0,180.0
616,92.0,82.0,88.0,62.0,85.0,190.0
617,88.0,76.0,84.0,61.0,78.0,193.0
618,97.0,79.0,87.0,62.0,89.0,186.0
619,92.0,80.0,88.0,61.0,83.0,185.0
620,104.0,84.0,97.0,65.0,99.0,215.0
621,83.0,75.0,81.0,57.0,79.0,193.0
622,87.0,75.0,84.0,63.0,80.0,172.0
623,79.0,71.0,79.0,64.0,74.0,182.0
624,88.0,72.0,85.0,59.0,82.0,186.0
625,79.0,71.0,75.0,55.0,78.0,188.0
626,96.0,81.0,87.0,68.0,95.0,194.0
627,88.0,77.0,87.0,64.0,81.0,177.0
628,87.0,78.0,83.0,59.0,80.0,174.0
629,88.0,75.0,82.0,58.0,81.0,192.0
