,none,E1,E2,E4,E5,I2
563,10.0,9.0,9.0,9.0,5.0,19.0
564,11.0,11.0,11.0,11.0,5.0,21.0
565,12.0,10.0,11.0,11.0,5.0,20.0
566,11.0,10.0,10.0,10.0,5.0,22.0
567,11.0,9.0,9.0,9.0,5.0,19.0
568,13.0,10.0,12.0,12.0,7.0,20.0
569,10.0,10.0,10.0,10.0,5.0,18.0
570,11.0,11.0,11.0,11.0,5.0,21.0
571,10.0,10.0,10.0,10.0,5.0,18.0
572,11.0,10.0,11.0,11.0,5.0,20.0
573,12.0,10.0,11.0,11.0,4.0,21.0
574,12.0,11.0,12.0,12.0,5.0,19.0
575,13.0,11.0,11.0,11.0,6.0,20.0
576,10.0,10.0,10.0,10.0,5.0,19.0
577,11.0,11.0,11.0,11.0,5.0,20.0
578,10.0,10.0,10.0,10.0,6.0,19.0
579,10.0,9.0,9.0,9.0,5.0,18.0
580,11.0,10.0,10.0,10.0,5.0,21.0
581,11.0,8.0,9.0,9.0,5.0,19.0
582,12.0,9.0,9.0,9.0,6.0,19.0
583,11.0,10.0,10.0,10.0,5.0,19.0
584,9.0,6.0,7.0,7.0,4.0,16.0
585,10.0,9.0,9.0,9.0,4.0,19.0
586,10.0,10.0,10.0,10.0,5.0,19.0
587,10.0,9.0,8.0,8.0,6.0,20.0
588,10.0,9.0,10.0,10.0,4.0,19.0
589,11.0,10.0,11.0,11.0,5.0,18.0
590,11.0,9.0,9.0,9.0,5.0,20.0
591,11.0,9.0,11.0,11.0,5.0,19.0
592,11.0,10.0,10.0,10.0,5.0,19.0
593,11.0,10.0,11.0,11.0,5.0,19.0
594,10.0,10.0,10.0,10.0,5.0,18.0
595,11.0,10.0,10.0,10.0,6.0,20.0
596,14.0,11.0,12.0,12.0,5.0,22.0
597,10.0,9.0,9.0,9.0,5.0,19.0
598,11.0,10.0,10.0,10.0,5.0,19.0
599,11.0,10.0,10.0,10.0,5.0,20.0
600,12.0,10.0,10.0,10.0,5.0,18.0
601,11.0,10.0,9.0,9.0,6.0,19.0
602,12.0,10.0,11.0,11.0,5.0,20.0
603,11.0,10.0,11.0,11.0,6.0,18.0
604,10.0,9.0,9.0,9.0,4.0,18.0
605,11.0,10.0,11.0,11.0,6.0,19.0
606,11.0,9.0,11.0,11.0,6.0,18.0
607,13.0,11.0,11.0,11.0,8.0,21.0
608,12.0,11.0,12.0,12.0,7.0,21.0
609,8.0,6.0,7.0,7.0,4.0,18.0
610,10.0,9.0,9.0,9.0,5.0,18.0
611,11.0,10.0,10.0,10.0,4.0,19.0
612,12.0,10.0,10.0,10.0,8.0,19.0
613,10.0,10.0,10.0,10.0,5.0,18.0
614,11.0,10.0,10.0,10.0,5.0,19.0
615,10.0,9.0,9.0,9.0,5.0,18.0
616,11.0,10.0,11.0,11.0,4.0,20.0
617,10.0,10.0,10.0,10.0,5.0,18.0
618,12.0,9.0,9.0,9.0,8.0,19.0
619,11.0,10.0,11.0,11.0,6.0,18.0
