,bodyId,type,instance,superclass,subclass,hemilineage,size,predictedNt,predictedNtProb,consensusNt,somaSide,rootSide,motor module,step contribution,class
3749,904827,IN13A045,IN13A045_L,vnc_intrinsic,,,773620456,gaba,,gaba,L,,,,intrinsic neuron
3750,904830,IN02A033,IN02A033_L,vnc_intrinsic,II,,490348510,glutamate,,glutamate,L,,,,intrinsic neuron
3751,904831,IN01A030,IN01A030_R,vnc_intrinsic,CR,,1734588554,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
3752,904838,IN13A035,IN13A035_L,vnc_intrinsic,,,773068416,gaba,,gaba,L,,,,intrinsic neuron
3753,904839,IN04B101,IN04B101_L,vnc_intrinsic,,,294143484,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3754,904844,IN18B005,IN18B005_L,vnc_intrinsic,BI,,4904215263,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3755,904854,IN13A002,IN13A002_R,vnc_intrinsic,IR,,2454455810,gaba,,gaba,R,,,,intrinsic neuron
3756,904865,IN20A.22A009,IN20A.22A009_R,vnc_intrinsic,,,971116241,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
3757,904917,IN14A007,IN14A007_R,vnc_intrinsic,BR,,1786249356,glutamate,,glutamate,R,,,,intrinsic neuron
3758,904926,INXXX468,INXXX468_L,vnc_intrinsic,IR,,1630669355,acetylcholine,,acetylcholine,L,,,,intrinsic neuron
3759,904989,IN08A003,IN08A003_L,vnc_intrinsic,BR,,4509548922,glutamate,,glutamate,L,,,,intrinsic neuron
3760,905004,IN02A029,IN02A029_L,vnc_intrinsic,II,,1161366566,glutamate,,glutamate,L,,,,intrinsic neuron
3761,905005,IN02A029,IN02A029_L,vnc_intrinsic,II,,1012904699,glutamate,,glutamate,L,,,,intrinsic neuron
3762,905046,IN08A030,IN08A030_R,vnc_intrinsic,,,698306576,glutamate,,glutamate,R,,,,intrinsic neuron
3763,905047,IN08A026,IN08A026_R,vnc_intrinsic,,,553805731,glutamate,,glutamate,R,,,,intrinsic neuron
3764,905048,IN04B059,IN04B059_R,vnc_intrinsic,IR,,752314016,acetylcholine,,acetylcholine,R,,,,intrinsic neuron
