,bodyId,type,instance,superclass,subclass,hemilineage,size,predictedNt,predictedNtProb,consensusNt,somaSide,rootSide,motor module,step contribution,class
1231,75754,AN19B009,AN19B009_R,ascending_neuron,BA,,4057806467,acetylcholine,,acetylcholine,R,,,,ascending neuron
1232,76985,AN19B022,AN19B022_L,ascending_neuron,BA,,2703026336,acetylcholine,,acetylcholine,L,,,,ascending neuron
1233,77107,AN12B055,AN12B055_L,ascending_neuron,BA,,686637953,gaba,,gaba,L,,,,ascending neuron
1234,77693,AN08B099_g,AN08B099_g_R,ascending_neuron,BA,,601025556,acetylcholine,,acetylcholine,R,,,,ascending neuron
1235,78114,AN04A001,AN04A001_R,ascending_neuron,BA,,4766007341,acetylcholine,,acetylcholine,R,,,,ascending neuron
1236,78641,DNpe057,DNpe057(PS226)_L,descending_neuron,nt,,416602123,acetylcholine,,acetylcholine,L,,,,descending neuron
1237,79943,DNg05_b,DNg05_b_L,descending_neuron,ut,,486809758,acetylcholine,,acetylcholine,L,,,,descending neuron
1238,80212,AN08B005,AN08B005_L,ascending_neuron,BA,,3911166997,acetylcholine,,acetylcholine,L,,,,ascending neuron
1239,80727,AN01A021,AN01A021_L,ascending_neuron,BA,,1929576952,acetylcholine,,acetylcholine,L,,,,ascending neuron
1240,82411,DNg06,DNg06_R,descending_neuron,ut,,441712127,acetylcholine,,acetylcholine,R,,,,descending neuron
1241,82880,AN04A001,AN04A001_R,ascending_neuron,BA,,4820222858,acetylcholine,,acetylcholine,R,,,,ascending neuron
1242,83661,DNge046,DNge046_R,descending_neuron,fl,,2220952987,gaba,,gaba,R,,,,descending neuron
1243,84268,AN19B051,AN19B051_L,ascending_neuron,BA,,1250620686,acetylcholine,,acetylcholine,L,,,,ascending neuron
1244,85538,AN05B049_b,AN05B049_b_R,ascending_neuron,BA,,1329081121,gaba,,gaba,R,,,,ascending neuron
1245,88070,AN04B004,AN04B004_R,ascending_neuron,IA,,2702602321,acetylcholine,,acetylcholine,R,,,,ascending neuron
1246,88392,AN07B042,AN07B042_R,ascending_neuron,BA,,1025449958,acetylcholine,,acetylcholine,R,,,,ascending neuron
1247,90051,AN07B003,AN07B003_L,ascending_neuron,BA,,6023832091,acetylcholine,,acetylcholine,L,,,,ascending neuron
1248,90235,DNp17,DNp17(DNp16/17)_R,descending_neuron,ut,,649203046,acetylcholine,,acetylcholine,R,,,,descending neuron
1249,90683,AN17A015,AN17A015_R,ascending_neuron,BA,,3054036282,acetylcholine,,acetylcholine,R,,,,ascending neuron
1250,92936,DNge083,DNge083_L,descending_neuron,xl,,4089625888,glutamate,,glutamate,L,,,,descending neuron
1251,93227,AN04A001,AN04A001_R,ascending_neuron,BA,,4658918504,acetylcholine,,acetylcholine,R,,,,ascending neuron
1252,93812,AN08B112,AN08B112_R,ascending_neuron,BA,,430290964,acetylcholine,,acetylcholine,R,,,,ascending neuron
1253,93982,AN07B042,AN07B042_L,ascending_neuron,BA,,944506022,acetylcholine,,acetylcholine,L,,,,ascending neuron
1254,94838,DNg03,DNg03_L,descending_neuron,ut,,545720714,acetylcholine,,acetylcholine,L,,,,descending neuron
1255,95022,AN07B057,AN07B057_L,ascending_neuron,BA,,783114463,acetylcholine,,acetylcholine,L,,,,ascending neuron
1256,95106,AN05B049_b,AN05B049_b_L,ascending_neuron,BA,,1241268867,gaba,,gaba,L,,,,ascending neuron
1257,95862,AN08B031,AN08B031_R,ascending_neuron,BA,,1697483850,acetylcholine,,acetylcholine,R,,,,ascending neuron
1258,96106,DNbe002,DNbe002_R,descending_neuron,xl,,4115936090,acetylcholine,,acetylcholine,R,,,,descending neuron
1259,96166,DNge176,DNge176_L,descending_neuron,ut,,407087708,acetylcholine,,acetylcholine,L,,,,descending neuron
1260,97614,DNp17,DNp17_R,descending_neuron,ut,,736399116,acetylcholine,,acetylcholine,R,,,,descending neuron
1261,97980,DNpe029,DNpe029_R,descending_neuron,xl,,895512948,acetylcholine,,acetylcholine,R,,,,descending neuron
1262,98227,DNpe009,"DNpe009(PS222,PS226)_R",descending_neuron,nt,,737348186,acetylcholine,,acetylcholine,R,,,,descending neuron
1263,98764,AN04A001,AN04A001_L,ascending_neuron,BA,,5175194519,acetylcholine,,acetylcholine,L,,,,ascending neuron
1264,99955,DNpe011,DNpe011(PS227)_R,descending_neuron,xn,,401354164,acetylcholine,,acetylcholine,R,,,,descending neuron
1265,100059,AN17A015,AN17A015_L,ascending_neuron,BA,,2940624755,acetylcholine,,acetylcholine,L,,,,ascending neuron
1266,101889,DNge025,DNge025_L,descending_neuron,fl,,402564567,acetylcholine,,acetylcholine,L,,,,descending neuron
1267,103156,AN06B048,AN06B048_R,ascending_neuron,BA,,1250848171,gaba,,gaba,R,,,,ascending neuron
1268,104547,AN08B103,AN08B103_R,ascending_neuron,IA,,600622893,acetylcholine,,acetylcholine,R,,,,ascending neuron
1269,106355,AN18B053,AN18B053_R,ascending_neuron,,,958850900,acetylcholine,,acetylcholine,R,,,,ascending neuron
1270,113166,DNpe018,DNpe018(hb1436667616)_R,descending_neuron,xn,,414665777,acetylcholine,,acetylcholine,R,,,,descending neuron
1271,113323,AN05B104,AN05B104_L,ascending_neuron,BA,,1742266598,acetylcholine,,acetylcholine,L,,,,ascending neuron
