,none,gain,threshold,time constant,max rate
743,0.0,2.0,1.0,0.0,0.0
744,5.0,4.0,3.0,4.0,5.0
745,2.0,2.0,1.0,2.0,2.0
746,7.0,6.0,8.0,6.0,7.0
747,3.0,3.0,3.0,3.0,3.0
748,2.0,2.0,2.0,2.0,2.0
749,2.0,3.0,2.0,2.0,2.0
750,0.0,2.0,0.0,0.0,0.0
751,2.0,2.0,2.0,2.0,2.0
752,0.0,1.0,0.0,0.0,0.0
753,2.0,2.0,2.0,2.0,2.0
754,4.0,3.0,4.0,4.0,4.0
755,7.0,5.0,8.0,7.0,7.0
756,5.0,3.0,6.0,5.0,5.0
757,8.0,5.0,6.0,8.0,8.0
758,2.0,2.0,1.0,2.0,2.0
759,0.0,0.0,0.0,0.0,0.0
760,5.0,4.0,5.0,5.0,5.0
761,2.0,2.0,3.0,2.0,2.0
762,4.0,4.0,4.0,5.0,4.0
763,3.0,4.0,0.0,3.0,3.0
764,1.0,1.0,2.0,1.0,1.0
765,4.0,2.0,2.0,3.0,3.0
766,4.0,3.0,3.0,4.0,4.0
767,4.0,3.0,2.0,4.0,4.0
768,4.0,2.0,5.0,4.0,4.0
769,5.0,5.0,5.0,5.0,5.0
770,7.0,5.0,6.0,8.0,7.0
771,2.0,2.0,3.0,2.0,2.0
772,6.0,4.0,7.0,6.0,6.0
773,1.0,1.0,2.0,1.0,1.0
774,4.0,2.0,4.0,6.0,4.0
775,4.0,2.0,4.0,4.0,4.0
776,5.0,4.0,5.0,5.0,5.0
777,3.0,3.0,4.0,3.0,3.0
778,4.0,4.0,4.0,4.0,4.0
779,3.0,4.0,2.0,3.0,3.0
780,3.0,2.0,3.0,3.0,3.0
781,3.0,3.0,0.0,3.0,3.0
782,1.0,3.0,2.0,1.0,1.0
783,4.0,3.0,6.0,5.0,4.0
784,1.0,2.0,3.0,1.0,1.0
785,0.0,3.0,0.0,0.0,0.0
786,1.0,3.0,1.0,1.0,1.0
787,1.0,1.0,1.0,1.0,1.0
788,5.0,5.0,4.0,6.0,5.0
789,2.0,2.0,2.0,2.0,2.0
790,4.0,4.0,3.0,4.0,4.0
791,3.0,3.0,2.0,3.0,3.0
792,2.0,3.0,3.0,3.0,2.0
793,2.0,3.0,2.0,2.0,2.0
794,4.0,4.0,2.0,4.0,4.0
795,0.0,1.0,1.0,0.0,0.0
796,6.0,3.0,6.0,5.0,6.0
797,1.0,1.0,1.0,1.0,1.0
798,8.0,5.0,5.0,7.0,8.0
799,3.0,2.0,2.0,2.0,3.0
800,4.0,5.0,2.0,5.0,4.0
801,2.0,2.0,4.0,2.0,2.0
802,4.0,3.0,2.0,4.0,4.0
803,0.0,0.0,1.0,0.0,0.0
804,2.0,2.0,6.0,2.0,2.0
805,8.0,5.0,8.0,8.0,8.0
806,3.0,3.0,6.0,3.0,3.0
807,4.0,4.0,5.0,4.0,4.0
808,1.0,5.0,1.0,1.0,1.0
809,38.0,3.0,8.0,18.0,38.0
810,2.0,1.0,2.0,3.0,2.0
811,6.0,5.0,5.0,6.0,6.0
812,4.0,4.0,4.0,4.0,4.0
813,2.0,4.0,1.0,2.0,2.0
814,2.0,2.0,4.0,2.0,2.0
815,4.0,4.0,4.0,4.0,4.0
816,11.0,6.0,12.0,10.0,11.0
817,6.0,6.0,6.0,6.0,6.0
818,5.0,2.0,3.0,5.0,5.0
819,5.0,3.0,5.0,5.0,5.0
820,6.0,5.0,5.0,6.0,6.0
821,6.0,6.0,5.0,6.0,6.0
822,3.0,3.0,2.0,3.0,3.0
823,6.0,5.0,3.0,5.0,6.0
824,0.0,0.0,0.0,0.0,0.0
825,5.0,5.0,4.0,5.0,5.0
826,11.0,5.0,6.0,12.0,12.0
827,2.0,4.0,3.0,2.0,2.0
