,55,65,75,85,95,105
343,1,4,7,14,23,92
344,1,3,5,11,56,91
345,1,3,4,5,9,72
346,3,5,8,12,81,89
347,2,5,12,16,20,25
348,1,5,8,35,38,73
349,1,2,4,5,10,17
350,1,4,6,11,19,24
351,1,5,6,12,16,65
352,1,2,5,7,12,12
353,1,4,5,10,14,73
354,1,5,7,10,16,19
355,1,3,5,7,9,66
356,2,5,11,17,24,90
357,3,5,6,9,13,15
358,2,5,16,82,91,91
359,1,4,5,10,16,23
360,2,4,5,9,34,38
361,1,3,6,41,38,80
362,1,5,8,11,90,89
363,3,5,12,43,65,89
364,5,9,41,39,88,91
365,1,2,5,8,13,100
366,1,3,5,10,46,77
367,1,4,5,9,12,22
368,2,5,9,82,90,93
369,1,3,5,6,27,28
370,2,5,5,10,12,17
371,1,3,5,5,12,14
372,1,3,4,5,8,10
373,1,5,7,12,17,40
374,1,5,7,12,86,35
375,3,5,9,29,32,36
376,1,3,7,14,121,85
377,3,5,9,34,39,96
378,4,6,8,13,87,47
379,2,4,8,9,12,39
380,1,4,5,9,17,18
381,1,3,5,11,104,101
382,1,4,5,12,38,45
383,1,5,5,12,15,21
384,1,4,5,9,12,18
385,5,9,12,21,41,89
386,3,3,5,6,13,17
387,1,3,5,10,15,19
388,3,5,12,28,88,88
389,1,5,9,14,16,20
390,3,6,9,11,16,22
391,1,5,11,44,47,55
392,1,5,9,37,92,93
393,1,3,8,16,38,39
394,3,5,7,12,42,44
395,2,4,6,14,19,24
396,1,3,5,6,9,13
397,1,1,5,7,8,82
398,2,5,7,13,40,84
399,3,5,9,10,16,23
400,2,5,10,15,44,89
401,4,5,11,16,23,26
402,1,4,6,26,33,38
403,0,1,3,6,11,15
404,1,3,4,5,6,13
405,1,2,5,8,16,18
406,1,4,5,9,38,49
407,1,4,10,13,48,82
408,1,4,5,6,8,31
409,1,3,4,5,11,14
410,1,4,6,8,13,15
411,2,3,5,8,11,20
412,1,4,5,6,90,91
413,1,5,6,13,16,43
414,1,5,6,11,12,35
415,1,3,5,6,29,37
416,1,2,4,10,15,20
417,2,5,5,10,15,17
418,3,6,44,89,84,85
419,1,5,6,11,15,89
420,4,7,10,13,71,81
421,1,2,4,5,7,11
422,1,5,7,17,28,35
423,3,10,15,27,75,94
424,2,5,71,60,38,83
425,1,2,5,5,7,10
