,55,65,75,85,95,105
222,89.0,121.0,246.0,405.0,553.0,1610.0
223,72.0,102.0,141.0,267.0,391.0,613.0
224,27.0,78.0,107.0,130.0,206.0,283.0
225,53.0,107.0,143.0,225.0,357.0,429.0
226,59.0,109.0,151.0,265.0,540.0,606.0
227,72.0,103.0,136.0,244.0,327.0,515.0
228,70.0,108.0,185.0,349.0,534.0,585.0
229,46.0,88.0,121.0,193.0,323.0,533.0
230,52.0,97.0,142.0,275.0,415.0,1534.0
231,71.0,107.0,137.0,228.0,315.0,423.0
232,49.0,100.0,126.0,202.0,292.0,1665.0
233,17.0,53.0,98.0,120.0,178.0,251.0
234,73.0,119.0,275.0,1696.0,1489.0,1530.0
235,54.0,98.0,133.0,210.0,288.0,1030.0
236,21.0,60.0,99.0,124.0,199.0,293.0
237,78.0,122.0,179.0,272.0,1472.0,1632.0
238,50.0,97.0,128.0,208.0,284.0,1481.0
239,58.0,116.0,198.0,872.0,950.0,1778.0
240,46.0,97.0,115.0,200.0,280.0,369.0
241,20.0,57.0,98.0,124.0,158.0,228.0
242,31.0,71.0,102.0,127.0,177.0,256.0
243,60.0,108.0,133.0,210.0,293.0,565.0
244,68.0,114.0,149.0,250.0,317.0,465.0
245,44.0,92.0,119.0,224.0,388.0,1618.0
246,50.0,93.0,120.0,191.0,281.0,504.0
247,62.0,101.0,136.0,226.0,315.0,414.0
248,83.0,126.0,194.0,284.0,390.0,448.0
249,42.0,88.0,116.0,281.0,383.0,479.0
250,69.0,112.0,200.0,290.0,423.0,517.0
251,37.0,82.0,116.0,139.0,230.0,312.0
252,25.0,87.0,121.0,204.0,496.0,891.0
253,88.0,120.0,169.0,560.0,697.0,556.0
254,42.0,86.0,117.0,211.0,321.0,418.0
255,63.0,104.0,161.0,287.0,552.0,581.0
256,64.0,103.0,131.0,198.0,294.0,362.0
257,53.0,103.0,128.0,219.0,337.0,392.0
258,64.0,101.0,124.0,179.0,259.0,461.0
259,73.0,109.0,140.0,226.0,317.0,560.0
260,22.0,66.0,101.0,122.0,221.0,497.0
261,20.0,71.0,106.0,127.0,187.0,240.0
262,67.0,99.0,128.0,221.0,342.0,616.0
263,80.0,116.0,150.0,310.0,390.0,499.0
264,71.0,109.0,168.0,324.0,425.0,489.0
265,28.0,92.0,122.0,205.0,305.0,442.0
266,95.0,136.0,247.0,957.0,527.0,581.0
