,none,E1,E2,I2
241,8.0,5.0,2.0,13.0
242,8.0,1.0,1.0,13.0
243,9.0,7.0,4.0,21.0
244,7.0,2.0,1.0,11.0
245,11.0,3.0,1.0,11.0
246,7.0,4.0,1.0,12.0
247,8.0,4.0,1.0,13.0
248,9.0,5.0,2.0,13.0
249,8.0,6.0,2.0,16.0
250,8.0,4.0,3.0,15.0
251,11.0,3.0,1.0,12.0
252,7.0,6.0,4.0,16.0
253,8.0,4.0,2.0,14.0
254,9.0,5.0,2.0,15.0
255,8.0,7.0,3.0,16.0
256,7.0,2.0,1.0,13.0
257,9.0,5.0,5.0,16.0
258,9.0,4.0,2.0,15.0
259,8.0,4.0,1.0,12.0
260,8.0,9.0,3.0,16.0
261,10.0,4.0,1.0,13.0
262,10.0,2.0,1.0,13.0
263,8.0,4.0,2.0,14.0
264,7.0,4.0,2.0,13.0
265,10.0,1.0,1.0,11.0
266,8.0,3.0,1.0,13.0
267,13.0,5.0,2.0,15.0
268,9.0,7.0,4.0,17.0
269,5.0,5.0,4.0,14.0
270,7.0,2.0,1.0,10.0
271,10.0,4.0,2.0,12.0
272,8.0,9.0,3.0,13.0
273,7.0,2.0,1.0,11.0
274,10.0,4.0,1.0,11.0
275,8.0,7.0,3.0,13.0
276,7.0,6.0,2.0,14.0
277,9.0,8.0,2.0,15.0
278,8.0,6.0,1.0,12.0
279,8.0,2.0,1.0,13.0
280,7.0,5.0,2.0,14.0
281,9.0,4.0,2.0,14.0
282,9.0,6.0,4.0,14.0
283,8.0,2.0,1.0,14.0
284,12.0,6.0,2.0,12.0
285,7.0,5.0,1.0,13.0
286,11.0,5.0,2.0,14.0
287,14.0,4.0,2.0,13.0
288,13.0,3.0,1.0,14.0
289,8.0,3.0,2.0,11.0
290,8.0,3.0,1.0,15.0
291,7.0,2.0,1.0,12.0
292,8.0,8.0,3.0,17.0
293,9.0,6.0,3.0,13.0
294,8.0,3.0,2.0,13.0
295,8.0,6.0,2.0,13.0
296,9.0,3.0,1.0,14.0
297,8.0,4.0,1.0,14.0
298,12.0,5.0,2.0,13.0
299,8.0,5.0,2.0,16.0
300,9.0,2.0,1.0,12.0
301,9.0,7.0,3.0,16.0
302,8.0,5.0,3.0,12.0
303,7.0,3.0,1.0,12.0
304,7.0,2.0,1.0,12.0
305,9.0,5.0,2.0,15.0
306,11.0,6.0,3.0,17.0
307,7.0,7.0,3.0,15.0
308,7.0,3.0,1.0,11.0
309,7.0,3.0,2.0,13.0
310,7.0,7.0,3.0,16.0
311,8.0,5.0,3.0,15.0
312,7.0,6.0,2.0,17.0
313,7.0,7.0,2.0,15.0
314,7.0,6.0,2.0,14.0
315,8.0,1.0,1.0,12.0
316,9.0,3.0,2.0,14.0
317,9.0,1.0,1.0,11.0
318,7.0,1.0,1.0,11.0
319,8.0,6.0,2.0,13.0
320,7.0,5.0,3.0,13.0
321,8.0,2.0,1.0,13.0
322,8.0,3.0,2.0,13.0
323,7.0,3.0,1.0,11.0
324,9.0,5.0,2.0,17.0
325,9.0,3.0,2.0,14.0
326,10.0,5.0,2.0,16.0
327,7.0,3.0,1.0,12.0
328,7.0,9.0,3.0,16.0
329,9.0,2.0,1.0,13.0
330,8.0,4.0,1.0,14.0
331,8.0,1.0,1.0,11.0
332,13.0,3.0,1.0,10.0
333,10.0,4.0,2.0,21.0
334,8.0,5.0,1.0,14.0
335,8.0,7.0,6.0,24.0
336,11.0,7.0,2.0,18.0
337,8.0,2.0,1.0,12.0
338,7.0,7.0,4.0,17.0
339,10.0,1.0,1.0,11.0
340,8.0,5.0,1.0,15.0
341,7.0,6.0,4.0,21.0
342,7.0,4.0,2.0,12.0
343,8.0,4.0,3.0,15.0
344,8.0,4.0,1.0,13.0
345,9.0,6.0,1.0,13.0
346,7.0,5.0,2.0,13.0
347,7.0,3.0,1.0,15.0
348,8.0,4.0,2.0,15.0
349,8.0,3.0,1.0,11.0
350,8.0,2.0,1.0,12.0
351,11.0,5.0,2.0,13.0
352,7.0,5.0,1.0,13.0
353,8.0,4.0,2.0,16.0
354,7.0,4.0,1.0,12.0
355,7.0,5.0,2.0,14.0
356,9.0,2.0,1.0,12.0
357,9.0,1.0,1.0,11.0
358,9.0,6.0,3.0,18.0
359,9.0,2.0,1.0,13.0
360,7.0,5.0,1.0,14.0
361,10.0,9.0,4.0,17.0
362,7.0,4.0,2.0,13.0
363,10.0,5.0,3.0,15.0
364,7.0,6.0,1.0,14.0
365,8.0,1.0,1.0,10.0
366,8.0,2.0,2.0,12.0
367,10.0,4.0,3.0,16.0
368,10.0,5.0,4.0,16.0
369,8.0,3.0,1.0,15.0
370,7.0,2.0,1.0,12.0
371,8.0,5.0,1.0,12.0
372,8.0,2.0,1.0,12.0
373,10.0,7.0,3.0,20.0
374,7.0,6.0,2.0,12.0
375,9.0,2.0,1.0,12.0
376,13.0,2.0,2.0,13.0
377,9.0,3.0,2.0,16.0
378,9.0,4.0,1.0,13.0
379,7.0,13.0,3.0,13.0
