,MANC,FANC,mCNS,BANC
242,5.0,11.0,21.0,3.0
243,5.0,8.0,16.0,4.0
244,5.0,11.0,18.0,4.0
245,3.0,12.0,15.0,5.0
246,3.0,10.0,16.0,4.0
247,4.0,10.0,19.0,3.0
248,4.0,11.0,17.0,4.0
249,4.0,13.0,18.0,4.0
250,2.0,11.0,14.0,5.0
251,5.0,11.0,17.0,6.0
252,3.0,12.0,16.0,3.0
253,5.0,10.0,16.0,4.0
254,4.0,10.0,20.0,5.0
255,4.0,12.0,19.0,4.0
256,1.0,10.0,16.0,5.0
257,4.0,5.0,19.0,5.0
258,5.0,11.0,18.0,4.0
259,3.0,12.0,19.0,4.0
260,5.0,10.0,16.0,3.0
261,5.0,12.0,15.0,4.0
262,5.0,11.0,18.0,5.0
263,5.0,12.0,16.0,3.0
264,3.0,11.0,17.0,4.0
265,5.0,10.0,16.0,4.0
266,4.0,11.0,17.0,5.0
267,4.0,10.0,17.0,4.0
268,2.0,11.0,17.0,4.0
269,5.0,10.0,13.0,4.0
270,4.0,11.0,19.0,4.0
271,4.0,11.0,18.0,4.0
272,5.0,12.0,18.0,5.0
273,4.0,10.0,18.0,4.0
274,5.0,11.0,17.0,5.0
275,5.0,11.0,19.0,5.0
276,5.0,12.0,16.0,6.0
277,4.0,11.0,17.0,5.0
278,5.0,8.0,17.0,6.0
279,4.0,10.0,19.0,4.0
280,5.0,9.0,13.0,5.0
281,4.0,11.0,19.0,6.0
282,4.0,10.0,18.0,5.0
283,4.0,11.0,16.0,6.0
284,4.0,12.0,14.0,4.0
285,2.0,13.0,17.0,5.0
286,6.0,10.0,13.0,5.0
287,8.0,10.0,16.0,5.0
288,3.0,11.0,17.0,4.0
289,4.0,13.0,17.0,3.0
290,5.0,8.0,14.0,5.0
291,3.0,11.0,17.0,7.0
292,7.0,11.0,11.0,4.0
293,3.0,11.0,18.0,4.0
294,4.0,11.0,15.0,5.0
295,5.0,13.0,14.0,4.0
296,1.0,11.0,18.0,7.0
297,4.0,11.0,15.0,4.0
298,6.0,12.0,16.0,4.0
299,3.0,12.0,17.0,4.0
300,5.0,11.0,16.0,4.0
301,6.0,11.0,18.0,4.0
302,5.0,11.0,18.0,5.0
303,5.0,14.0,18.0,4.0
304,3.0,11.0,16.0,3.0
305,5.0,10.0,17.0,5.0
306,5.0,11.0,15.0,4.0
307,5.0,11.0,15.0,4.0
308,2.0,11.0,18.0,4.0
309,5.0,11.0,17.0,4.0
310,3.0,11.0,19.0,4.0
311,6.0,10.0,16.0,4.0
312,3.0,9.0,17.0,3.0
313,4.0,11.0,17.0,6.0
314,6.0,10.0,16.0,4.0
315,5.0,10.0,18.0,4.0
316,5.0,11.0,19.0,7.0
317,5.0,11.0,15.0,5.0
318,4.0,10.0,12.0,6.0
319,5.0,13.0,15.0,4.0
320,5.0,12.0,17.0,4.0
321,3.0,11.0,16.0,4.0
322,1.0,13.0,18.0,4.0
323,5.0,12.0,18.0,6.0
324,4.0,11.0,19.0,4.0
325,7.0,11.0,14.0,7.0
326,5.0,10.0,16.0,4.0
327,4.0,11.0,15.0,5.0
328,3.0,10.0,14.0,4.0
329,2.0,11.0,16.0,4.0
330,4.0,12.0,19.0,5.0
331,5.0,11.0,17.0,4.0
332,5.0,11.0,16.0,4.0
333,4.0,10.0,17.0,4.0
334,4.0,10.0,15.0,4.0
335,5.0,11.0,15.0,3.0
336,5.0,10.0,11.0,5.0
337,5.0,10.0,16.0,5.0
338,3.0,12.0,18.0,4.0
339,4.0,11.0,16.0,5.0
340,5.0,13.0,18.0,4.0
341,5.0,12.0,16.0,4.0
342,5.0,10.0,18.0,4.0
343,4.0,10.0,16.0,5.0
344,4.0,12.0,19.0,3.0
345,4.0,11.0,19.0,6.0
346,5.0,8.0,18.0,4.0
347,2.0,10.0,17.0,4.0
348,4.0,13.0,14.0,4.0
349,5.0,10.0,18.0,5.0
350,5.0,11.0,14.0,6.0
351,4.0,12.0,16.0,5.0
352,5.0,9.0,18.0,4.0
353,5.0,10.0,18.0,5.0
