,none,E1,E2,I2,19B
402,7.0,0.0,0.0,13.0,4.0
403,8.0,1.0,1.0,15.0,6.0
404,9.0,1.0,1.0,10.0,7.0
405,7.0,1.0,1.0,10.0,3.0
406,8.0,1.0,0.0,11.0,3.0
407,5.0,0.0,0.0,9.0,2.0
408,7.0,0.0,0.0,11.0,4.0
409,6.0,1.0,1.0,9.0,3.0
410,7.0,1.0,1.0,9.0,4.0
411,8.0,1.0,1.0,10.0,5.0
412,8.0,1.0,0.0,9.0,4.0
413,8.0,0.0,0.0,11.0,4.0
414,7.0,1.0,1.0,12.0,4.0
415,8.0,1.0,1.0,10.0,4.0
416,6.0,0.0,0.0,9.0,5.0
417,8.0,1.0,1.0,12.0,4.0
418,9.0,1.0,1.0,18.0,5.0
419,7.0,1.0,0.0,10.0,2.0
420,8.0,1.0,1.0,15.0,6.0
421,7.0,1.0,1.0,11.0,5.0
422,8.0,1.0,0.0,10.0,4.0
423,8.0,1.0,1.0,16.0,6.0
424,8.0,1.0,1.0,18.0,6.0
425,7.0,1.0,1.0,11.0,3.0
426,7.0,1.0,1.0,10.0,6.0
427,8.0,1.0,1.0,16.0,5.0
428,9.0,1.0,1.0,16.0,6.0
429,8.0,1.0,1.0,15.0,5.0
430,9.0,1.0,1.0,15.0,6.0
431,7.0,1.0,1.0,14.0,6.0
432,8.0,1.0,1.0,14.0,6.0
433,8.0,1.0,0.0,10.0,5.0
434,8.0,1.0,0.0,9.0,6.0
435,8.0,1.0,1.0,15.0,5.0
436,8.0,1.0,1.0,11.0,5.0
437,8.0,1.0,1.0,9.0,3.0
438,8.0,1.0,1.0,13.0,6.0
439,6.0,1.0,0.0,9.0,3.0
440,7.0,1.0,1.0,14.0,6.0
441,8.0,1.0,1.0,10.0,4.0
442,6.0,1.0,0.0,9.0,3.0
443,5.0,1.0,0.0,9.0,2.0
444,7.0,1.0,0.0,11.0,3.0
445,6.0,1.0,1.0,9.0,3.0
446,7.0,1.0,1.0,10.0,4.0
447,7.0,1.0,0.0,11.0,5.0
448,7.0,1.0,1.0,9.0,3.0
449,8.0,1.0,0.0,10.0,6.0
450,9.0,1.0,1.0,14.0,5.0
451,7.0,1.0,0.0,9.0,5.0
452,7.0,1.0,1.0,10.0,3.0
453,7.0,1.0,0.0,9.0,3.0
454,7.0,1.0,0.0,9.0,2.0
455,8.0,1.0,1.0,17.0,6.0
456,8.0,1.0,0.0,13.0,4.0
457,7.0,1.0,1.0,12.0,6.0
458,7.0,1.0,1.0,12.0,3.0
459,7.0,1.0,0.0,9.0,4.0
460,7.0,1.0,1.0,10.0,3.0
461,8.0,0.0,0.0,13.0,4.0
462,9.0,1.0,1.0,18.0,5.0
463,7.0,1.0,1.0,9.0,3.0
464,9.0,1.0,1.0,14.0,7.0
465,7.0,0.0,0.0,9.0,2.0
466,9.0,1.0,1.0,16.0,7.0
467,8.0,1.0,0.0,14.0,5.0
468,8.0,1.0,1.0,9.0,6.0
469,8.0,1.0,0.0,12.0,5.0
470,8.0,1.0,0.0,11.0,3.0
471,7.0,1.0,1.0,13.0,4.0
472,8.0,1.0,1.0,10.0,6.0
473,7.0,1.0,1.0,15.0,5.0
474,8.0,1.0,0.0,13.0,2.0
475,7.0,1.0,1.0,12.0,4.0
476,8.0,1.0,1.0,10.0,6.0
477,8.0,1.0,0.0,9.0,5.0
478,9.0,1.0,1.0,11.0,6.0
479,8.0,1.0,1.0,11.0,5.0
480,7.0,1.0,1.0,10.0,5.0
481,8.0,0.0,0.0,11.0,6.0
482,8.0,1.0,1.0,15.0,4.0
483,9.0,1.0,1.0,14.0,6.0
484,7.0,1.0,0.0,9.0,6.0
485,7.0,1.0,1.0,9.0,4.0
486,8.0,1.0,1.0,16.0,6.0
487,5.0,1.0,0.0,10.0,2.0
488,8.0,1.0,1.0,9.0,4.0
489,8.0,0.0,0.0,12.0,4.0
490,8.0,1.0,1.0,14.0,6.0
491,7.0,1.0,0.0,10.0,6.0
492,9.0,1.0,1.0,16.0,6.0
493,8.0,0.0,0.0,9.0,3.0
494,8.0,1.0,0.0,11.0,3.0
495,8.0,1.0,0.0,15.0,4.0
496,7.0,1.0,1.0,11.0,3.0
497,8.0,1.0,1.0,12.0,4.0
498,9.0,1.0,1.0,15.0,5.0
499,8.0,1.0,1.0,15.0,4.0
500,9.0,1.0,1.0,16.0,7.0
501,7.0,1.0,0.0,9.0,3.0
502,6.0,0.0,0.0,10.0,2.0
503,8.0,1.0,1.0,12.0,5.0
504,8.0,1.0,1.0,16.0,6.0
505,8.0,1.0,1.0,10.0,6.0
506,7.0,1.0,1.0,9.0,4.0
507,7.0,1.0,0.0,11.0,3.0
508,7.0,1.0,0.0,12.0,5.0
509,8.0,0.0,0.0,13.0,4.0
510,7.0,1.0,1.0,11.0,5.0
511,7.0,2.0,1.0,11.0,6.0
512,7.0,1.0,0.0,12.0,3.0
513,8.0,2.0,1.0,16.0,6.0
514,9.0,1.0,1.0,16.0,6.0
515,8.0,1.0,0.0,20.0,6.0
516,8.0,2.0,1.0,16.0,5.0
517,7.0,1.0,1.0,9.0,4.0
518,8.0,1.0,1.0,10.0,6.0
519,8.0,1.0,1.0,11.0,5.0
520,5.0,0.0,0.0,8.0,3.0
521,7.0,1.0,1.0,10.0,3.0
522,8.0,1.0,1.0,18.0,6.0
523,7.0,1.0,1.0,10.0,4.0
524,8.0,1.0,0.0,12.0,4.0
525,8.0,1.0,1.0,16.0,4.0
526,8.0,0.0,0.0,14.0,2.0
527,9.0,1.0,1.0,16.0,7.0
528,7.0,1.0,1.0,16.0,4.0
529,8.0,1.0,1.0,9.0,5.0
530,7.0,1.0,1.0,11.0,5.0
531,7.0,1.0,1.0,10.0,3.0
532,7.0,1.0,0.0,10.0,3.0
533,8.0,1.0,1.0,12.0,6.0
534,7.0,1.0,1.0,13.0,3.0
535,8.0,1.0,0.0,10.0,5.0
536,8.0,1.0,1.0,18.0,4.0
537,8.0,1.0,1.0,11.0,6.0
538,8.0,1.0,1.0,9.0,6.0
539,7.0,1.0,0.0,9.0,4.0
540,7.0,1.0,0.0,9.0,3.0
541,7.0,1.0,0.0,12.0,4.0
542,6.0,0.0,0.0,9.0,2.0
543,8.0,1.0,1.0,16.0,6.0
544,9.0,1.0,1.0,16.0,5.0
545,8.0,1.0,1.0,15.0,5.0
546,7.0,1.0,1.0,17.0,5.0
547,8.0,1.0,1.0,10.0,6.0
548,7.0,1.0,1.0,9.0,4.0
549,6.0,1.0,0.0,10.0,3.0
550,7.0,1.0,0.0,9.0,4.0
551,7.0,1.0,1.0,10.0,3.0
552,6.0,1.0,0.0,9.0,3.0
553,9.0,1.0,1.0,13.0,7.0
554,8.0,0.0,0.0,15.0,3.0
555,7.0,1.0,1.0,15.0,3.0
